+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1019]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1014]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1022]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1015]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[989]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1018]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[991]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[994]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1016]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1012]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1005]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1013]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1020]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1007]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1009]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[992]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1015]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1010]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1018]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1011]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[985]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1014]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[987]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[990]/D|
