rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
460,31,0,0,6715462,6689549,6566918,6613329,6542755,6594112,6589477,6567647,6646259,6539358,6638859,6578494,6493466,6604320,6575204,6506854,6547077,6501015,6523761,6403510
461,0,0,0,6727608,6702450,6578670,6625915,6555106,6606479,6601735,6580311,6659190,6551806,6652098,6590686,6505488,6616877,6587923,6519552,6560011,6514370,6536321,6416655
462,31,0,0,6715826,6689839,6567115,6613050,6542938,6594098,6590145,6567968,6646857,6539858,6639468,6577837,6493206,6603810,6575320,6507067,6546877,6501618,6523370,6404693
463,0,0,0,6728471,6702128,6579447,6625599,6555173,6606606,6601906,6580598,6659832,6552705,6652329,6590262,6506554,6616599,6587699,6519877,6560381,6515113,6537093,6417198
464,31,0,0,6715742,6690411,6567954,6613050,6542523,6593682,6589802,6568539,6646638,6539713,6639772,6577992,6494043,6604263,6574983,6506360,6546641,6502279,6524420,6403794
465,0,0,0,6727785,6702981,6579359,6625371,6554617,6606139,6602505,6580399,6658959,6551806,6651812,6590692,6505795,6615866,6587578,6519456,6559488,6514432,6536665,6416480
466,31,0,0,6716255,6690978,6567567,6613953,6543087,6594813,6589579,6568222,6646892,6539418,6639350,6578907,6493806,6604016,6575171,6507107,6546639,6501749,6524516,6404626
467,0,0,0,6727968,6702963,6578960,6625558,6555104,6606794,6601420,6580432,6658270,6551425,6651850,6590570,6505937,6616106,6587122,6518921,6559316,6513784,6536996,6416688
468,31,0,0,6714259,6690738,6567185,6612447,6542773,6593957,6588910,6567925,6645604,6539116,6638553,6577693,6493510,6602708,6573749,6505360,6546186,6501042,6523581,6403979
469,0,0,0,6727184,6703388,6580323,6625539,6556513,6606962,6602171,6580897,6659006,6552282,6652276,6590985,6506070,6615479,6587614,6519318,6559478,6514157,6536729,6416812
