rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
286,31,0,0,6714678,6689596,6567027,6609975,6544490,6595370,6589279,6569320,6648169,6539822,6638613,6579309,6492502,6602283,6577292,6507030,6545564,6502155,6524766,6405308
287,0,0,0,6726974,6701958,6578712,6622585,6556788,6608411,6601102,6582089,6660354,6552743,6651165,6592085,6505310,6614797,6589567,6519713,6559129,6515519,6537497,6417789
288,31,0,0,6715546,6690945,6568416,6611595,6545128,6597152,6589929,6570721,6648572,6541161,6639399,6580589,6493761,6602778,6577568,6507861,6546336,6504127,6525558,6406845
289,0,0,0,6725795,6702122,6578606,6621545,6555860,6607505,6600669,6581348,6659208,6552235,6650617,6591437,6504203,6614502,6588399,6518984,6556959,6514777,6536566,6417553
290,31,0,0,6715016,6691528,6568119,6610822,6544865,6596971,6589758,6569603,6648400,6540933,6639080,6579892,6493778,6603703,6577142,6507423,6545945,6502887,6525560,6405823
291,0,0,0,6725650,6703074,6578927,6621700,6556378,6607791,6601096,6581431,6660092,6552707,6650388,6591893,6505513,6616047,6588141,6519577,6558126,6515073,6536813,6417290
292,31,0,0,6713338,6690692,6566924,6609401,6543297,6595355,6588092,6568941,6646944,6539845,6637542,6579302,6492434,6602114,6575472,6506293,6544243,6502242,6523909,6404853
293,0,0,0,6725133,6702112,6578953,6621604,6554686,6606525,6599956,6580020,6659026,6551534,6649266,6591166,6503862,6614464,6587741,6518626,6556306,6514363,6536038,6416990
294,31,0,0,6714577,6691435,6567462,6611750,6544021,6594913,6588810,6569489,6648662,6540200,6637816,6579890,6493087,6603872,6576482,6507241,6544591,6502990,6524159,6405462
295,0,0,0,6727003,6704002,6579526,6624253,6556580,6607961,6601523,6582427,6661494,6553352,6651015,6592552,6506310,6616496,6590049,6520551,6558331,6515779,6537631,6418599
296,31,0,0,6713409,6690611,6566813,6611429,6543651,6595192,6588697,6569315,6648188,6540138,6638784,6579513,6492579,6603010,6576137,6506877,6544862,6502740,6524745,6405093
