+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[978]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[973]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[980]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[978]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[971]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[993]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[997]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[995]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[999]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[971]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[969]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[976]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[974]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[969]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[998]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[976]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[974]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[996]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[967]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[989]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[993]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[991]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[995]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[967]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[965]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[972]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[970]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[965]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[994]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[998]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[972]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[999]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[997]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[970]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[992]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[996]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[985]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[989]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[963]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[987]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[991]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[963]/D|
