rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
367,0,1,1,6734140,6706438,6584988,6627315,6561754,6611227,6609549,6584021,6666376,6558472,6655393,6594889,6510005,6622575,6595531,6526777,6563948,6519491,6542566,6420868
368,31,1,1,6721612,6694457,6572577,6614562,6549178,6599634,6597534,6572282,6654306,6546444,6642817,6582894,6497905,6610081,6582913,6514098,6551643,6506759,6530035,6408318
369,0,1,1,6734075,6706039,6584790,6627317,6561283,6611919,6609778,6584401,6666500,6559306,6655391,6594764,6510326,6622969,6595614,6527454,6565318,6519393,6543734,6420950
370,31,1,1,6721543,6694058,6572870,6615954,6548591,6599522,6597311,6572105,6653782,6546581,6642184,6581691,6497641,6610712,6582892,6514663,6552335,6506876,6531019,6408394
371,0,1,1,6735087,6707135,6585985,6628739,6561496,6612705,6610544,6585058,6667122,6559437,6655723,6595353,6510257,6623887,6595855,6528055,6565705,6520878,6544651,6421347
372,31,1,1,6722221,6694680,6574184,6615904,6549340,6600257,6597506,6573252,6654077,6546534,6642605,6582604,6497996,6611577,6583190,6515352,6551977,6506641,6531786,6408920
373,0,1,1,6734408,6706901,6586313,6627606,6561070,6612436,6609928,6585615,6667132,6559196,6655806,6595498,6510526,6624994,6595184,6527868,6565373,6520437,6544301,6421788
374,31,1,1,6721478,6693252,6573077,6614860,6547926,6599213,6597061,6572186,6654420,6545955,6641988,6581993,6497084,6611305,6582346,6514012,6551896,6506949,6530631,6407942
375,0,1,1,6734440,6706410,6586021,6628366,6561334,6612131,6610555,6585152,6667433,6559847,6655425,6595550,6510027,6624315,6595749,6527760,6565973,6520244,6544344,6421548
376,31,1,1,6721447,6693246,6572854,6614644,6548618,6598775,6596971,6571896,6653483,6545512,6641817,6582106,6496758,6610313,6581710,6513202,6552190,6506196,6530804,6408648
377,0,1,1,6734796,6706157,6585863,6627691,6562373,6612285,6610095,6585294,6666903,6559503,6656141,6595650,6510828,6624133,6595389,6528250,6566653,6519908,6544566,6421736
378,31,1,1,6721665,6693285,6573149,6615258,6550151,6598816,6597058,6572367,6653788,6546692,6642346,6581773,6498185,6611410,6582785,6514222,6552873,6506368,6531045,6408791
379,0,1,1,6734233,6705789,6585478,6628089,6562239,6611611,6609287,6585209,6666586,6559046,6655694,6594047,6510078,6623763,6595376,6527392,6566219,6519147,6543691,6421566
380,31,1,1,6722266,6693982,6573614,6615778,6549810,6600157,6597576,6572784,6654211,6547034,6643513,6582411,6497917,6611190,6582939,6514680,6552803,6506615,6530758,6409307
381,0,1,1,6735296,6707889,6585140,6628592,6562583,6613101,6609646,6585235,6667302,6559890,6657518,6595751,6510932,6623955,6596563,6528069,6566518,6520321,6543995,6422560
382,31,1,1,6722685,6695206,6573684,6616287,6550252,6600418,6597188,6572428,6654727,6547174,6644346,6582797,6498299,6611316,6583108,6514921,6553203,6506983,6530667,6410007
383,0,1,1,6734729,6707080,6584921,6627391,6561797,6612110,6608764,6583618,6666130,6559741,6656530,6594501,6510226,6624071,6595021,6527506,6564987,6519230,6542975,6421758
384,31,1,1,6722283,6694989,6573600,6616104,6550467,6600394,6597001,6572052,6653941,6547118,6643840,6582285,6498300,6611557,6582663,6514395,6552942,6506756,6530585,6409605
385,0,1,1,6734024,6706940,6585579,6628714,6562543,6611976,6609085,6584287,6666246,6558811,6656144,6594557,6509878,6624023,6595280,6526669,6564644,6519120,6543232,6421063
386,31,1,1,6722181,6694034,6573404,6615855,6550062,6599349,6596192,6571916,6653149,6546099,6642783,6582063,6497500,6611384,6582671,6513612,6551666,6506520,6530487,6408561
387,0,1,1,6734706,6706895,6585712,6628203,6562252,6611778,6608879,6584919,6665638,6559118,6656337,6594388,6510969,6622974,6595530,6527570,6565420,6519490,6543872,6420973
388,31,1,1,6721961,6694793,6573283,6615265,6550098,6600031,6597165,6572005,6653142,6546762,6643846,6582027,6498924,6610866,6582308,6514617,6552385,6506749,6532094,6408583
